timestamp,strategy_file,git_sha,symbol,timeframe,period,total_return,cagr,max_drawdown,sharpe,sortino,calmar,beta,jensen_alpha,tracking_error,information_ratio,profit_factor,win_rate,payoff_ratio,n_trades,avg_win,avg_loss,pct_in_market
2026-05-04T05:10:27,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,4H,IS,-0.1397299999999999,-0.4820691446514258,-0.4975277264627401,-0.09561125303102469,-0.04822399441464575,-0.9689292053706839,0.07017004550600157,-0.07434287648655975,1.176174826383211,0.1985067770403674,0.966066298734426,0.6666666666666666,0.483033149367213,90,236.07633333333337,-488.73733333333337,0.282
2026-05-04T05:10:27,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.09660200000000008,-0.33368816980576643,-0.2501737297843857,-1.1273406778915465,-0.6388355935458154,-1.333825778163672,0.20809924375969818,-0.4365092679533259,0.44102901206729833,-1.6807975530330594,0.7564130193100382,0.6666666666666666,0.3782065096550192,27,122.8477777777778,-324.8166666666666,0.21389396709323583
2026-05-04T05:15:01,research/examples/strategies/kol_range_fade_4h_long_no_stop.py,nogit,BTC/USDT,4H,IS,-0.290284,-0.7766158132504478,-0.4727175673914258,-1.0606922124171578,-0.5292403331689028,-1.6428748724867765,0.01312912262874024,-1.005542343121133,1.1375055460919505,-0.5967771453722392,0.8450776613293148,0.6344086021505376,0.4869939065287577,93,192.8528813559322,-396.00676470588235,0.274
2026-05-04T05:15:01,research/examples/strategies/kol_range_fade_4h_long_no_stop.py,nogit,BTC/USDT,4H,OOS,-0.10907199999999995,-0.3696910285906507,-0.2460042149591285,-1.422997227133803,-0.7719223685835466,-1.502783310652103,0.18092719499808285,-0.4883860024528319,0.4358633253095149,-1.8437308596903248,0.7255965544566274,0.6428571428571429,0.40310919692034836,28,121.58055555555555,-301.6070000000001,0.20109689213893966
2026-05-04T05:20:03,research/examples/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,4H,IS,0.005846000000000018,0.025807354704422636,-0.4502150787036596,0.5097360455953411,0.319836126497828,0.05732227978399085,0.3251848857930058,0.6012662166388342,1.0374660388856467,0.7948835959301422,1.0854178146385927,0.47333333333333333,1.2077184134711112,150,281.0447887323944,-232.70721518987344,0.21
2026-05-04T05:20:03,research/examples/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,4H,OOS,0.024256999999999973,0.10051958054869581,-0.03653901611575838,1.099167360526615,0.27341366148224844,2.751020449763675,0.030154911628918958,0.08849757528519664,0.40082707076071133,-0.7104244771709681,4.15947362551578,0.5,4.15947362551578,4,186.49,-44.835,0.043875685557586835
2026-05-04T05:21:29,research/examples/strategies/kol_ohlc_anchor_4h_long.py,nogit,BTC/USDT,4H,IS,-0.23619599999999996,-0.6920473974521566,-0.65821355531872,-0.2739255240600393,-0.30705481845785826,-1.0514025301667536,0.2187964766674464,-0.28317943190841005,1.3815822201045709,-0.017777354050418512,0.9537539558274616,0.45901639344262296,1.1240671622252225,122,441.40857142857146,-392.6887878787879,0.426
2026-05-04T05:21:29,research/examples/strategies/kol_ohlc_anchor_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.18486499999999995,-0.5581832829203159,-0.2699672948110614,-3.584878997185764,-1.766985563042564,-2.067595940874855,0.05681712099242475,-0.81545463215988,0.43898759549172967,-2.6844684315120704,0.4061636761067473,0.3333333333333333,0.8123273522134946,12,295.90749999999997,-364.27125,0.11882998171846434
2026-05-04T06:28:03,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,ETH/USDT,4H,IS,0.1686319999999999,0.9762276755429782,-0.19304017706234966,1.3990578870841965,0.40416226575956377,5.057121737034402,0.09137879042903464,0.9247337970183643,0.9767672943192333,1.3254292015222144,1.5526563898794563,0.6,1.0351042599196376,15,580.05,-560.3783333333333,0.05
2026-05-04T06:28:03,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,ETH/USDT,4H,OOS,-0.005070000000000019,-0.020108113707594133,-0.17733036039264516,0.10387338651842082,0.023964960270961268,-0.11339351966054045,0.07757629821607849,-0.01550046931598624,0.6741551944616546,-0.8964711950443989,1.010696124846572,0.8333333333333334,0.20213922496931436,6,149.86399999999998,-741.39,0.04753199268738574
2026-05-04T06:28:25,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,SOL/USDT,4H,IS,-0.66759,-0.9904141525703622,-0.7335750742084839,-2.637380635439316,-0.974593434919807,-1.350119691074569,0.23604982083781284,-4.035437067930767,1.690594531272345,-3.1836588456801826,0.39494849015818184,0.6216216216216216,0.24040342879193685,37,184.53521739130437,-767.6064285714285,0.13513513513513514
2026-05-04T06:28:25,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,SOL/USDT,4H,OOS,-0.017319000000000084,-0.0674375426979188,-0.25851753144491485,0.1737562040536747,0.09206007875886307,-0.2608625508722547,0.2149851053250818,-0.1917850203009871,0.793505017245982,-1.5966511726371628,0.9842744444946651,0.5714285714285714,0.7382058333709988,14,353.8725,-479.3683333333333,0.1170018281535649
2026-05-04T06:28:41,research/examples/strategies/kol_range_fade_4h_long.py,nogit,ETH/USDT,4H,IS,-0.591793,-0.9800905966645914,-0.752132633419875,-2.06496156403142,-1.224542913915667,-1.3030821335436722,0.1050035223792324,-2.8359967239699504,1.573749683453984,-1.5705428356300868,0.7649123970059656,0.6486486486486487,0.41432754837823155,111,227.5606944444445,-549.2289743589745,0.332
2026-05-04T06:28:41,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,BNB/USDT,4H,IS,0.8453689999999998,13.558554955018517,-0.35997363306758956,2.872568055761744,1.8714790357079598,37.66541132325858,-0.012261312210664989,3.3210627088691154,1.4717977431012226,3.4737703430427342,1.5112088735202631,0.6428571428571429,0.8395604852890356,84,551.4616666666667,-656.8456666666666,0.248
2026-05-04T06:28:41,research/examples/strategies/kol_range_fade_4h_long.py,nogit,ETH/USDT,4H,OOS,0.004053000000000084,0.01629582468871238,-0.23076494912369216,0.22346106615410088,0.11030097658261537,0.07061655052292047,0.10734496584162835,0.009980004788682082,0.6679138949816184,-0.8382463834595812,1.0777151839188601,0.7391304347826086,0.38037006491253883,23,221.0152941176471,-581.0533333333334,0.1882998171846435
2026-05-04T06:28:41,research/examples/strategies/funding_rate_bottom_fisher.py,nogit,BNB/USDT,4H,OOS,0.031438999999999995,0.13168388162390587,-0.05117801567657543,0.8407168423051126,0.12419415277450141,2.5730556349838825,0.01341944066012914,0.12273071130325089,0.4947849743459197,-1.9405779088578683,3.432515757741847,0.5,3.432515757741847,4,250.505,-72.98,0.029250457038391225
2026-05-04T06:29:02,research/examples/strategies/kol_range_fade_4h_long.py,nogit,SOL/USDT,4H,IS,-0.5959380000000001,-0.9781552494065637,-0.7172234526771948,-1.1633028256502325,-0.8638344246052269,-1.3638082326440712,0.1661014086005443,-2.4096518235867435,2.131985708868431,-1.8198103141317872,0.7991287251246406,0.580952380952381,0.5764207197620362,105,337.88852459016397,-586.1838636363635,0.333976833976834
2026-05-04T06:29:02,research/examples/strategies/kol_range_fade_4h_long.py,nogit,SOL/USDT,4H,OOS,-0.24846899999999994,-0.6806695398587407,-0.37027990194708105,-1.6845538415518055,-1.0783015272336771,-1.8382567789380566,0.21146971919722068,-1.2641915000588924,0.78659410898706,-2.9801544198267576,0.5393147461854609,0.56,0.4237473005742907,25,190.74214285714288,-450.1318181818182,0.2376599634369287
2026-05-04T06:29:19,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,4H,IS,-0.578331,-0.9770567666176526,-0.6925074926550927,-2.835896350544253,-1.9606460451113137,-1.4108970328560493,-0.09648572596329676,-3.3108987569002037,1.4737241887569352,-0.9297556441889413,0.7164234142054251,0.5462184873949579,0.5951825287245072,119,187.10984615384615,-314.3738888888889,0.37
2026-05-04T06:29:19,research/examples/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,4H,OOS,0.11428499999999997,0.5410389575412866,-0.1210366932426532,1.7028635571704682,0.7346774485295688,4.470040803714101,0.08855605528934664,0.3747677289286733,0.511037216696253,-1.2242936919675456,1.976730136547588,0.6842105263157895,0.9123369860988868,19,208.90692307692308,-228.98,0.1480804387568556
2026-05-04T07:28:43,research/examples/strategies/kol_200w_value_zone_long.py,nogit,BTC/USDT,1D,IS,0.27144999999999997,0.15399689319707255,-0.5701244270027146,0.5415491369041442,0.383011275233596,0.2701110247225722,0.23540336257019154,0.05333173681872019,0.6872178630392571,-1.0320064772497821,2736.55,1.0,nan,2,1368.275,nan,0.32569558101472995
2026-05-04T07:28:43,research/examples/strategies/kol_200w_value_zone_long.py,nogit,BTC/USDT,1D,OOS,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.426287251947195,0.18853785132657286,nan,nan,nan,0,nan,nan,0.0
2026-05-05T13:18:44,my-research/strategies/sma_cross_rsi_basic.py,nogit,BTC/USDT,4H,IS,-0.23236899999999994,-0.6852454421652729,-0.624978560104045,0.051534873533595385,0.04869255879302693,-1.0964303192275826,0.3557650446083457,0.04718904098645309,1.6027301167268018,-0.008867225803327397,0.884845183994062,0.32894736842105265,1.8050841753478866,76,587.4696,-325.4527450980392,0.418
2026-05-05T13:18:44,my-research/strategies/sma_cross_rsi_basic.py,nogit,BTC/USDT,4H,OOS,-0.15928700000000007,-0.5001196558625848,-0.22125575248191476,-1.8694989136030749,-1.3795110882012178,-2.260369053697097,0.16431268373694904,-0.6989361099097369,0.47391877048288594,-2.144442279646976,0.41792065942031925,0.4117647058823529,0.5970295134575989,17,146.59999999999997,-245.54900000000004,0.263254113345521
2026-05-05T14:23:00,my-research/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,1D,IS,-0.11562399999999995,-0.07066135501522486,-0.2965790604692389,-0.20615372584336886,-0.07004328589012071,-0.23825469978705338,0.027677343075293813,-0.061182396695235,0.6512888209422597,-0.8711857253972094,0.6818421478343708,0.7272727272727273,0.255690805437889,11,284.50374999999997,-1112.6866666666667,0.10147299509001637
2026-05-05T14:23:01,my-research/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,1D,IS,0.17918199999999995,0.10329382612167493,-0.2975582680690244,0.47787251590662605,0.23434142076661005,0.34713814807429216,0.05477086905241232,0.0978435447085618,0.8679352360453866,-0.8134920251259927,1.3368504545818112,0.6111111111111112,0.8507230165520617,18,729.3272727272728,-857.3028571428573,0.14566284779050737
2026-05-05T14:23:00,my-research/strategies/kol_range_fade_4h_long.py,nogit,BTC/USDT,1D,OOS,0.14049500000000004,0.14049500000000004,-0.07438299200702958,1.3446406756843612,0.6945261610761957,1.8888054407212138,0.05774239539809458,0.1419374144578808,0.41336054745553513,0.538869543772609,1435.6,1.0,nan,3,478.5333333333333,nan,0.1043956043956044
2026-05-05T14:23:03,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,1D,IS,0.487471,0.26721175093723404,-0.4863176072673022,0.7592612306853259,0.6469464894930055,0.5494593388027638,0.1382237806388072,0.25631429460576866,0.6872095706136719,-0.27989145820318057,1.3267678297227257,0.5113636363636364,1.2678003706239385,88,526.6846666666668,-415.43186046511636,0.24549918166939444
2026-05-05T14:23:01,my-research/strategies/kol_range_fade_4h_long.py,nogit,BNB/USDT,1D,OOS,-0.328155,-0.328155,-0.3815351100079971,-1.253755011232123,-0.7219501149570982,-0.8600912246139595,0.3016636701196281,-0.411192658558621,0.43323061433066457,-1.237624412020023,0.01615842326184382,0.3333333333333333,0.03231684652368764,3,53.47,-1654.5549999999998,0.19505494505494506
2026-05-05T14:23:03,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BTC/USDT,1D,OOS,-0.02496100000000001,-0.02496100000000001,-0.08839649769116187,-0.2614771980252642,-0.09533976592985467,-0.2823754407918775,0.03902854833275532,-0.01850324132314097,0.41747299024040685,0.1530918029235208,0.7424955629292384,0.8,0.1856238907323096,5,144.32999999999998,-777.54,0.06868131868131869
2026-05-05T14:23:04,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BNB/USDT,4H,IS,3.860353,1002.695126341394,-0.21975225009033372,4.1303849309642935,6.5799425078429445,4562.8435018490845,0.5748033346178196,7.276938850158566,2.117525191784672,2.887210682632046,1.4354541223878734,0.5330188679245284,1.2576102488176948,212,1338.6277876106192,-1064.421818181818,0.262
2026-05-05T14:23:04,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BNB/USDT,4H,OOS,0.12966800000000012,0.6278337768025104,-0.027863219308610132,2.593951888072054,1.2069867307929951,22.532707719402,-0.0018141906635603642,0.5089060534210096,0.512871889191007,-1.0975651556336126,7.124860247752784,0.7142857142857143,2.849944099101114,7,318.63800000000003,-111.805,0.054844606946983544
2026-05-05T14:24:28,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,SOL/USDT,4H,IS,-0.209059,-0.6282907404511885,-0.9264612742687514,1.0271011541165262,1.2917485290921384,-0.6781619026084965,0.21395040650054858,2.6223101893011274,3.0960156683912943,0.3993874814880438,1.012160976351437,0.48111332007952284,1.0916281604451452,503,241.79760330578515,-221.50180076628354,0.4671814671814672
2026-05-05T14:24:27,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,ETH/USDT,4H,IS,-0.378163,-0.8746549706651324,-0.7290641852178644,-0.5847390483611865,-0.5265330335621748,-1.1996954292903053,0.27818203879022446,-1.6583617242852027,1.6222332416643466,-2.23337563928929,0.9653884784843498,0.4362745098039216,1.2474120789404524,204,459.5178651685393,-368.37695652173915,0.334
2026-05-05T14:24:28,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,SOL/USDT,4H,OOS,-0.3069029999999999,-0.7689227875238939,-0.4019919122989921,-2.7458848864015284,-1.3707535317313366,-1.9127817351508982,0.09442526326603602,-1.4653967838065625,0.7990618230607918,-3.273701344760609,0.6262658838407665,0.3333333333333333,1.252531767681533,42,317.64071428571424,-253.59892857142856,0.14442413162705667
2026-05-05T14:24:27,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,ETH/USDT,4H,OOS,-0.117618,-0.3935082546845913,-0.31394125618798896,-0.8137064852969903,-0.5074108928897804,-1.2534454995266928,0.12534639350781315,-0.46880407929246903,0.7312283459590945,-1.4132999903831136,0.912376433904319,0.32608695652173914,1.8855779634022596,46,452.56,-240.0112903225806,0.1425959780621572
2026-05-05T14:27:21,my-research/strategies/kol_range_fade_1d_long_atr_stop.py,nogit,BTC/USDT,1D,IS,0.04930699999999999,0.02912090921664401,-0.11541351548224243,0.2666452425132825,0.09306749269035737,0.25231801574508456,0.004729803515040357,0.03772911704968977,0.6430857482472339,-0.7470682898166058,1.3221088708597748,0.6363636363636364,0.7554907833484428,11,352.6914285714286,-466.8375,0.07201309328968904
2026-05-05T14:27:22,my-research/strategies/kol_range_fade_1d_long_atr_stop.py,nogit,BNB/USDT,1D,IS,0.31135899999999994,0.1754652061288242,-0.17453048638213708,0.7482788972933305,0.4039843939261847,1.005355624487521,0.049807198820287946,0.15324221158796028,0.8588926055861926,-0.7624716316934734,1.760976681701717,0.5789473684210527,1.280710313964885,19,706.6527272727272,-551.76625,0.12274959083469722
2026-05-05T14:27:21,my-research/strategies/kol_range_fade_1d_long_atr_stop.py,nogit,BTC/USDT,1D,OOS,0.10743600000000009,0.10743600000000009,-0.07438299200702958,1.0857673852564624,0.5170048454318741,1.4443624422885117,0.0542206661939949,0.1117056581040257,0.414218134195912,0.4608575141758924,7.028218983679929,0.6666666666666666,3.5141094918399647,3,643.8199999999999,-183.21,0.09065934065934066
2026-05-05T14:27:22,my-research/strategies/kol_range_fade_1d_long_atr_stop.py,nogit,BNB/USDT,1D,OOS,-0.330734,-0.330734,-0.3703301388066601,-1.6130498983243227,-0.6549045284975303,-0.8930788108841116,0.2010075725677058,-0.41058559170554326,0.4635286016923718,-1.1953383836202798,0.015974929526779823,0.3333333333333333,0.03194985905355965,3,53.27,-1667.3,0.12087912087912088
2026-05-05T14:30:34,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BNB/USDT,4H,IS,3.178324,517.27485252043,-0.4117593413672298,3.60889283181573,6.830740166220574,1256.2552941794602,0.4900479074544103,7.2530836709092865,2.3838929692595983,2.457334882197244,1.273347563521562,0.5180722891566265,1.184509361415406,332,1175.7188953488373,-992.5788125000001,0.352
2026-05-05T14:30:34,my-research/strategies/kol_ohlc_anchor_4h_long_hysteresis.py,nogit,BNB/USDT,4H,OOS,-0.09752399999999994,-0.33640166322909937,-0.15854858124254667,-1.2448103424570245,-0.6509648947671522,-2.1217576378969554,0.05310060956415535,-0.4240967110337779,0.5359544219636524,-2.681498698421024,0.8005783669534917,0.36666666666666664,1.3828171792833044,30,246.89181818181822,-178.54263157894738,0.113345521023766
2026-05-05T16:24:32,my-research/strategies/btc_regime_short_1d.py,nogit,BTC/USDT,1D,IS,0.05906499999999992,0.03481800937172519,-0.3988908129393607,0.27445317148619497,0.14404994244090716,0.08728706764429348,0.1476627452280877,0.019933688533935356,0.6342570656265787,-0.6682000078485641,1.0985752218074865,0.5662650602409639,0.8414618720227558,83,331.0757446808511,-393.4530555555555,0.14238952536824878
2026-05-05T16:24:32,my-research/strategies/btc_regime_short_1d.py,nogit,BTC/USDT,1D,OOS,-0.34563900000000003,-0.34563900000000003,-0.3725475428356241,-1.2355528009192511,-0.9487640729406642,-0.9277715197614478,0.5130198761625306,-0.3355420871924185,0.29712045426392286,-0.9941413609536112,0.5341094217191339,0.41818181818181815,0.7431087606527079,55,151.52521739130435,-203.90718750000002,0.3021978021978022
2026-05-05T16:24:31,my-research/strategies/btc_zrev_4h_long.py,nogit,BTC/USDT,4H,IS,-0.438998,-0.9200793888629667,-0.5874029542757351,-1.9820482537966981,-1.6259459184863096,-1.56635131329467,-0.14373057272784096,-1.825214052004963,1.2371289487343897,-2.6452695267655297,0.8896041747894107,0.5814977973568282,0.6402454288257122,227,162.30969696969694,-253.5116842105263,0.512
2026-05-05T16:24:31,my-research/strategies/btc_zrev_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.242603,-0.6705915411443508,-0.33026062259737654,-2.908902203090581,-1.6089876479719087,-2.030491966830313,0.25352482449344194,-0.9344722158183013,0.47076763717175746,-1.2835962927805853,0.5898138980379477,0.45454545454545453,0.7077766776455375,44,145.94650000000001,-206.20416666666665,0.22120658135283364
2026-05-05T16:28:33,my-research/strategies/btc_monthly_open_4h_long.py,nogit,BTC/USDT,4H,IS,-0.983375,-0.9999999833086655,-0.9845562694447636,-8.907682358419757,-8.96189017311499,-1.0156859636601687,0.0268356084121246,-16.222888761676348,1.9167707297807177,-9.106134722066008,0.9048167083930001,0.44617156016119747,1.1231402238375077,1737,50.905058064516126,-45.32386694386694,0.394
2026-05-05T16:28:35,my-research/strategies/btc_monthly_open_4h_long.py,nogit,BNB/USDT,4H,IS,-0.972608,-0.9999998519354496,-0.9771319967079307,-4.06309254839802,-5.483555342768308,-1.0234030359302155,0.08252900250468793,-12.01337172277271,3.0331315622746136,-4.3227868246730425,0.9576984074296443,0.45570321151716503,1.143885218108553,1806,80.80720534629405,-70.64275686673449,0.392
2026-05-05T16:28:33,my-research/strategies/btc_monthly_open_4h_long.py,nogit,BTC/USDT,4H,OOS,-0.507064,-0.9408052284415362,-0.5360684708869051,-8.696019717505813,-6.228420152556446,-1.7550094428889083,0.19175508883905007,-2.6940825244718183,0.46633776394041776,-5.010451206585633,0.32667310227995594,0.37012987012987014,0.5559173845816796,154,33.424561403508775,-60.12505154639175,0.1956124314442413
2026-05-05T16:28:34,my-research/strategies/btc_monthly_open_4h_long.py,nogit,ETH/USDT,4H,IS,-0.988078,-0.9999999960985443,-0.9904770196793882,-8.140539247269567,-7.909318565831191,-1.0096145354510482,-0.07410391737390162,-16.921015225988672,2.274400998858035,-8.408773583520396,0.9631264812143103,0.4528757854035766,1.1635636891511194,2069,67.13496264674494,-57.697712014134275,0.394
2026-05-05T16:28:35,my-research/strategies/btc_monthly_open_4h_long.py,nogit,BNB/USDT,4H,OOS,-0.608134,-0.9763388834575888,-0.6495102960734542,-5.49203886077519,-3.6527594673781447,-1.5031923117461605,0.4765224944454224,-3.277661365698587,0.6547623354113169,-4.572365436124963,0.7253516990118499,0.4151624548736462,1.0217997846949531,277,91.2711304347826,-89.3238888888889,0.26508226691042047
2026-05-05T16:28:34,my-research/strategies/btc_monthly_open_4h_long.py,nogit,ETH/USDT,4H,OOS,-0.613225,-0.9775436480874669,-0.6601993778119045,-5.381638571295843,-4.909053276696374,-1.4806794446358535,0.33868393379799483,-3.490767879396675,0.7702731009794902,-4.309428747627139,0.7540524467657232,0.4199288256227758,1.041614820532313,281,100.25491525423732,-96.24950920245398,0.3162705667276051
2026-05-05T16:31:25,my-research/strategies/vol_breakout_4h_long.py,nogit,ETH/USDT,4H,IS,-0.0798549999999999,-0.30496535676928127,-0.37370282678477207,0.03368775041003787,0.048909281592967625,-0.8160638210663603,0.09024774956027694,-0.1545420255210943,1.1743616517181026,-1.7211254214918332,1.104405055247739,0.3548387096774194,2.008009191359524,310,223.73409090909087,-111.42085000000002,0.47
2026-05-05T16:31:24,my-research/strategies/vol_breakout_4h_long.py,nogit,BTC/USDT,4H,IS,-0.06068600000000002,-0.23941284693709097,-0.4588532749064106,0.11094563009275772,0.15978001487117527,-0.5217634046219295,0.1195634384529909,-0.053718444767477565,1.0352616242721007,-1.1280824099203863,1.1258560904665706,0.33860759493670883,2.1991020832477868,316,201.092523364486,-91.44301435406699,0.462
2026-05-05T16:31:26,my-research/strategies/vol_breakout_4h_long.py,nogit,BNB/USDT,4H,IS,-0.48941999999999997,-0.9470493011697518,-0.6310252660952264,-2.1783446954204426,-2.884945665416197,-1.5008104303494483,0.059423981168579776,-2.449550123062003,1.3514540238646457,-2.6456069671489284,0.8756295968218827,0.33116883116883117,1.7684284014245866,308,178.1252941176471,-100.72519417475728,0.474
