test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
alt_btc_rs_breakout,AVAX/USDT,IS,6,472,0.4915254237288136,0.00920500234489969,0.11008112081853821
alt_btc_rs_breakout,AVAX/USDT,IS,18,472,0.527542372881356,0.04947005344093633,0.23862504818038283
alt_btc_rs_breakout,AVAX/USDT,IS,42,472,0.5211864406779662,0.0978668599052413,0.2569799157872874
alt_btc_rs_breakout,AVAX/USDT,OOS,6,86,0.5116279069767442,0.0031406695956844853,0.0729162166077664
alt_btc_rs_breakout,AVAX/USDT,OOS,18,86,0.46511627906976744,-0.008316990020411204,-0.10994065069852872
alt_btc_rs_breakout,AVAX/USDT,OOS,42,81,0.5555555555555556,0.019034144552131996,0.1787391347065762
alt_btc_rs_breakout,AVAX/USDT,full,6,558,0.4946236559139785,0.008270356078891612,0.10502817913319352
alt_btc_rs_breakout,AVAX/USDT,full,18,558,0.517921146953405,0.040563806599223276,0.20904663211319452
alt_btc_rs_breakout,AVAX/USDT,full,42,553,0.5262206148282098,0.0863199341482759,0.24301054274840492
btc_impulse_alt_lag,AVAX/USDT,IS,1,97,0.5257731958762887,0.004964592203642007,0.1330065060986046
btc_impulse_alt_lag,AVAX/USDT,IS,3,97,0.4845360824742268,0.01204316293676774,0.20037279403436714
btc_impulse_alt_lag,AVAX/USDT,IS,6,97,0.5360824742268041,0.026591018151995195,0.2892724009198553
btc_impulse_alt_lag,AVAX/USDT,OOS,1,2,1.0,0.016221177736631454,3.6421329181720457
btc_impulse_alt_lag,AVAX/USDT,OOS,3,2,1.0,0.07390394952708013,2.5458115586837877
btc_impulse_alt_lag,AVAX/USDT,OOS,6,2,1.0,0.07324191446823547,1.0064994568202925
btc_impulse_alt_lag,AVAX/USDT,full,1,99,0.5353535353535354,0.005191997971985229,0.1403997532497902
btc_impulse_alt_lag,AVAX/USDT,full,3,99,0.494949494949495,0.013292875797178092,0.22081738947949858
btc_impulse_alt_lag,AVAX/USDT,full,6,99,0.5454545454545454,0.02753346050181823,0.3008611617356744
ethbtc_above_ma,AVAX/USDT,IS,42,4259,0.4778116928856539,0.03854249257292971,0.13178288299700508
ethbtc_below_ma,AVAX/USDT,IS,42,5917,0.48487409160047323,0.015075507095771136,0.10400536479016702
ethbtc_above_ma,AVAX/USDT,OOS,42,1182,0.4170896785109983,-0.024190406619129638,-0.2315087387609449
ethbtc_below_ma,AVAX/USDT,OOS,42,967,0.5346432264736298,0.00415600572365821,0.051613551800173754
ethbtc_above_ma,AVAX/USDT,full,42,5441,0.4646204741775409,0.02491443029669112,0.09417283386341298
ethbtc_below_ma,AVAX/USDT,full,42,6884,0.49186519465427075,0.013541637568340401,0.09828558238454436
alt_btc_rs_breakout,LINK/USDT,IS,6,728,0.49725274725274726,0.001445230119115166,0.021558241200344254
alt_btc_rs_breakout,LINK/USDT,IS,18,728,0.5164835164835165,0.006154690742892015,0.06311831871988195
alt_btc_rs_breakout,LINK/USDT,IS,42,728,0.4945054945054945,0.018280817863522092,0.11463503883829608
alt_btc_rs_breakout,LINK/USDT,OOS,6,83,0.5421686746987951,0.0068794186128377476,0.16887787191445192
alt_btc_rs_breakout,LINK/USDT,OOS,18,83,0.5060240963855421,0.004234199610584076,0.0525438530857727
alt_btc_rs_breakout,LINK/USDT,OOS,42,79,0.5189873417721519,0.0187731711702959,0.19187495381489286
alt_btc_rs_breakout,LINK/USDT,full,6,811,0.5018495684340321,0.0020013801129240122,0.03086600770219245
alt_btc_rs_breakout,LINK/USDT,full,18,811,0.5154130702836005,0.005958142328611422,0.06214595271106042
alt_btc_rs_breakout,LINK/USDT,full,42,807,0.4969021065675341,0.01832901601870813,0.11864885665995945
btc_impulse_alt_lag,LINK/USDT,IS,1,148,0.4594594594594595,-0.001535536801504979,-0.06150159755951861
btc_impulse_alt_lag,LINK/USDT,IS,3,148,0.47297297297297297,-0.0019783819825407293,-0.04299958717095721
btc_impulse_alt_lag,LINK/USDT,IS,6,148,0.47297297297297297,0.004331384604086235,0.06264779147542743
btc_impulse_alt_lag,LINK/USDT,OOS,1,0,,,
btc_impulse_alt_lag,LINK/USDT,OOS,3,0,,,
btc_impulse_alt_lag,LINK/USDT,OOS,6,0,,,
btc_impulse_alt_lag,LINK/USDT,full,1,148,0.4594594594594595,-0.001535536801504979,-0.06150159755951861
btc_impulse_alt_lag,LINK/USDT,full,3,148,0.47297297297297297,-0.0019783819825407293,-0.04299958717095721
btc_impulse_alt_lag,LINK/USDT,full,6,148,0.47297297297297297,0.004331384604086235,0.06264779147542743
ethbtc_above_ma,LINK/USDT,IS,42,5585,0.5215756490599821,0.015624291755914285,0.09180844869708162
ethbtc_below_ma,LINK/USDT,IS,42,8275,0.5209667673716012,0.02636467689669189,0.18152278708517405
ethbtc_above_ma,LINK/USDT,OOS,42,1182,0.3934010152284264,-0.015326085704089287,-0.13889759410659003
ethbtc_below_ma,LINK/USDT,OOS,42,967,0.5594622543950362,0.011309796486778425,0.1387564748210341
ethbtc_above_ma,LINK/USDT,full,42,6767,0.49918723215605143,0.01021815223208922,0.06316886685877278
ethbtc_below_ma,LINK/USDT,full,42,9242,0.5249945899156027,0.024789469219091125,0.177052185634974
alt_btc_rs_breakout,ARB/USDT,IS,6,145,0.46206896551724136,5.1776458332584844e-05,0.0009406089651927717
alt_btc_rs_breakout,ARB/USDT,IS,18,145,0.4482758620689655,-0.0033635728324653536,-0.04304367602847429
alt_btc_rs_breakout,ARB/USDT,IS,42,145,0.4068965517241379,-0.026536649826938992,-0.24564623104048863
alt_btc_rs_breakout,ARB/USDT,OOS,6,81,0.41975308641975306,-0.007080409475624406,-0.14452037488098587
alt_btc_rs_breakout,ARB/USDT,OOS,18,81,0.41975308641975306,-0.023137682033923624,-0.29038034069133567
alt_btc_rs_breakout,ARB/USDT,OOS,42,78,0.4358974358974359,-0.024117665459231333,-0.2061793980247345
alt_btc_rs_breakout,ARB/USDT,full,6,226,0.4469026548672566,-0.0025044494737493455,-0.047292564674634996
alt_btc_rs_breakout,ARB/USDT,full,18,226,0.43805309734513276,-0.01045075356396146,-0.13213132116504475
alt_btc_rs_breakout,ARB/USDT,full,42,223,0.4170403587443946,-0.025690547671417926,-0.231484170373997
btc_impulse_alt_lag,ARB/USDT,IS,1,16,0.5,0.0012949112291519224,0.08148797593997159
btc_impulse_alt_lag,ARB/USDT,IS,3,16,0.375,-0.005184269845844761,-0.1737432357040829
btc_impulse_alt_lag,ARB/USDT,IS,6,16,0.25,-0.00820613138654356,-0.1769020094392119
btc_impulse_alt_lag,ARB/USDT,OOS,1,6,0.6666666666666666,0.006130321072544779,0.4599274142471422
btc_impulse_alt_lag,ARB/USDT,OOS,3,6,0.6666666666666666,0.02422556842701588,0.48035851982793587
btc_impulse_alt_lag,ARB/USDT,OOS,6,6,0.5,0.019877841036679462,0.3009178848782287
btc_impulse_alt_lag,ARB/USDT,full,1,22,0.5454545454545454,0.002613659368259065,0.17327307637895958
btc_impulse_alt_lag,ARB/USDT,full,3,22,0.45454545454545453,0.0028365951376626867,0.07524192821668098
btc_impulse_alt_lag,ARB/USDT,full,6,22,0.3181818181818182,-0.000546866180210008,-0.01044759361630205
ethbtc_above_ma,ARB/USDT,IS,42,330,0.30606060606060603,-0.05009512392939158,-0.5283217437986384
ethbtc_below_ma,ARB/USDT,IS,42,4372,0.457227813357731,0.0009755378413176667,0.0076357756771527965
ethbtc_above_ma,ARB/USDT,OOS,42,1182,0.3840947546531303,-0.03484718305393041,-0.30757915695745175
ethbtc_below_ma,ARB/USDT,OOS,42,967,0.5470527404343329,0.013702765035472993,0.11249453691819611
ethbtc_above_ma,ARB/USDT,full,42,1512,0.36706349206349204,-0.0381751066577017,-0.3480582555152533
ethbtc_below_ma,ARB/USDT,full,42,5339,0.4734969095336205,0.0032806939935462105,0.025875954589209996
alt_btc_rs_breakout,OP/USDT,IS,6,282,0.475177304964539,0.007217491890331531,0.08468417248016348
alt_btc_rs_breakout,OP/USDT,IS,18,282,0.450354609929078,0.006538089209344976,0.05427692482158599
alt_btc_rs_breakout,OP/USDT,IS,42,282,0.46099290780141844,0.04153893686424333,0.1725321972931272
alt_btc_rs_breakout,OP/USDT,OOS,6,92,0.4891304347826087,0.0030397285008171523,0.054715899467803794
alt_btc_rs_breakout,OP/USDT,OOS,18,92,0.4891304347826087,-0.003388298626731075,-0.033750456419513415
alt_btc_rs_breakout,OP/USDT,OOS,42,88,0.3522727272727273,-0.030881506791987687,-0.3183288761551104
alt_btc_rs_breakout,OP/USDT,full,6,374,0.4786096256684492,0.00618980677847238,0.07843083639422405
alt_btc_rs_breakout,OP/USDT,full,18,374,0.45989304812834225,0.004096303966246054,0.03537556077225633
alt_btc_rs_breakout,OP/USDT,full,42,370,0.43513513513513513,0.024314615129788383,0.1117821432264163
btc_impulse_alt_lag,OP/USDT,IS,1,26,0.6153846153846154,0.003876372083920648,0.26896384195716244
btc_impulse_alt_lag,OP/USDT,IS,3,26,0.5769230769230769,0.0136468841298115,0.33067651668429826
btc_impulse_alt_lag,OP/USDT,IS,6,26,0.4230769230769231,0.003428039747968241,0.08533006161499843
btc_impulse_alt_lag,OP/USDT,OOS,1,6,0.5,0.00032856416866812915,0.021905404878798967
btc_impulse_alt_lag,OP/USDT,OOS,3,6,0.6666666666666666,0.02411739623684724,0.5911347944378177
btc_impulse_alt_lag,OP/USDT,OOS,6,6,0.5,0.03630838360410332,0.5668236178851325
btc_impulse_alt_lag,OP/USDT,full,1,32,0.59375,0.0032111580998108007,0.22385358845624417
btc_impulse_alt_lag,OP/USDT,full,3,32,0.59375,0.0156101051498807,0.38322245100166086
btc_impulse_alt_lag,OP/USDT,full,6,32,0.4375,0.009593104220993569,0.2076945901318216
ethbtc_above_ma,OP/USDT,IS,42,1320,0.4636363636363636,0.016249113859020357,0.08169696598407704
ethbtc_below_ma,OP/USDT,IS,42,5153,0.4756452551911508,0.009784355024973507,0.055588251524583104
ethbtc_above_ma,OP/USDT,OOS,42,1182,0.39678510998307953,-0.03201411071866461,-0.26181754105577576
ethbtc_below_ma,OP/USDT,OOS,42,967,0.4674250258531541,-0.006829483326780182,-0.04982431827931738
ethbtc_above_ma,OP/USDT,full,42,2502,0.4320543565147882,-0.006551498231636572,-0.03880489482126444
ethbtc_below_ma,OP/USDT,full,42,6120,0.47434640522875815,0.007159259978217653,0.04197695915980708
alt_btc_rs_breakout,DOGE/USDT,IS,6,443,0.44469525959367945,0.051803824051735836,0.1769234045519528
alt_btc_rs_breakout,DOGE/USDT,IS,18,443,0.4604966139954853,0.07378324289551733,0.20870611971928052
alt_btc_rs_breakout,DOGE/USDT,IS,42,443,0.4153498871331828,0.1203053090804323,0.22696973529118522
alt_btc_rs_breakout,DOGE/USDT,OOS,6,84,0.4880952380952381,0.0038435112120052497,0.06900073697861983
alt_btc_rs_breakout,DOGE/USDT,OOS,18,83,0.4578313253012048,0.0061400721750817355,0.07377032392971657
alt_btc_rs_breakout,DOGE/USDT,OOS,42,83,0.40963855421686746,0.008242178783355557,0.0831532906976755
alt_btc_rs_breakout,DOGE/USDT,full,6,527,0.45161290322580644,0.044159296008970436,0.16361915465548008
alt_btc_rs_breakout,DOGE/USDT,full,18,526,0.4600760456273764,0.06310951063354743,0.19300931634680238
alt_btc_rs_breakout,DOGE/USDT,full,42,526,0.4144486692015209,0.10262234365332702,0.2095895268271921
btc_impulse_alt_lag,DOGE/USDT,IS,1,189,0.328042328042328,0.003306470048212751,0.11372550792968615
btc_impulse_alt_lag,DOGE/USDT,IS,3,189,0.36507936507936506,0.003911767186179902,0.07472819237702924
btc_impulse_alt_lag,DOGE/USDT,IS,6,189,0.37037037037037035,0.004702312095666352,0.06031652520158838
btc_impulse_alt_lag,DOGE/USDT,OOS,1,2,1.0,0.021857779854742132,6.038514394986329
btc_impulse_alt_lag,DOGE/USDT,OOS,3,2,1.0,0.07957143135307743,0.9335079606060116
btc_impulse_alt_lag,DOGE/USDT,OOS,6,1,1.0,0.062153163152053104,
btc_impulse_alt_lag,DOGE/USDT,full,1,191,0.33507853403141363,0.0035007246011607026,0.12078211157138599
btc_impulse_alt_lag,DOGE/USDT,full,3,191,0.3717277486910995,0.0047040149785034365,0.08875200538590937
btc_impulse_alt_lag,DOGE/USDT,full,6,190,0.3736842105263158,0.005004684995963124,0.0642732908950874
ethbtc_above_ma,DOGE/USDT,IS,42,5567,0.4038081552002874,0.06066250642762381,0.1298322632425636
ethbtc_below_ma,DOGE/USDT,IS,42,7275,0.4815120274914089,0.021013363993436767,0.13113989213789806
ethbtc_above_ma,DOGE/USDT,OOS,42,1182,0.3316412859560068,-0.022320327468221865,-0.2082870018602564
ethbtc_below_ma,DOGE/USDT,OOS,42,967,0.5056876938986556,0.00848401435457811,0.08947314101258362
ethbtc_above_ma,DOGE/USDT,full,42,6749,0.39116906208327157,0.046129137089219674,0.10781024370559412
ethbtc_below_ma,DOGE/USDT,full,42,8242,0.484348459111866,0.019543346873711415,0.12685921360829674
